Age,Length,Otolith Weight
3,22.5,0.028
3,21.8,0.028
5,20.5,0.028
6,21.5,0.028
3,24.5,0.028
5,20.5,0.028
4,19,0.028
2,22,0.028
2,24.7,0.028
3,22.8,0.028
2,23,0.028
4,21.8,0.028
4,21.6,0.028
3,23,0.028
5,20.5,0.028
7,24,0.028
3,24.2,0.028
7,20.4,0.028
4,21.3,0.028
7,23.9,0.028
4,22,0.028
4,21.3,0.028
3,24.1,0.029
4,20,0.029
4,25,0.029
5,23,0.029
3,23.8,0.029
5,21.8,0.029
5,19.8,0.029
5,21,0.029
4,21.2,0.029
4,21.6,0.029
2,19.8,0.029
2,19.7,0.029
4,21.5,0.029
4,22.4,0.029
4,22.3,0.029
3,24.7,0.029
6,22.2,0.029
4,21.6,0.029
6,21,0.029
4,21,0.029
2,23.5,0.029
3,24.6,0.029
2,23.5,0.029
6,22.5,0.029
4,22.2,0.029
4,25.5,0.029
4,22.5,0.029
3,22.2,0.029
5,21.3,0.029
6,20.2,0.029
3,24.5,0.029
3,22.7,0.029
4,30,0.029
4,23,0.029
2,24.5,0.029
2,23.4,0.03
4,22,0.03
5,28.4,0.03
5,23.4,0.03
3,22,0.03
4,22,0.03
2,23.5,0.03
3,23.4,0.03
3,25.8,0.03
4,23.1,0.03
5,22.4,0.03
4,21.6,0.03
4,21,0.03
6,21.6,0.03
5,21.7,0.03
6,20.6,0.03
4,22.6,0.03
5,21.4,0.03
4,21.7,0.03
5,21.2,0.03
6,21.3,0.03
5,20.2,0.03
6,22.1,0.03
3,23.8,0.03
3,25.5,0.03
5,22.8,0.03
3,23.3,0.03
4,22.8,0.03
2,24.3,0.03
4,22.8,0.03
3,23.3,0.03
4,24.6,0.03
3,24.2,0.03
2,22.5,0.03
4,23.3,0.03
3,23.8,0.03
3,25,0.031
3,25.2,0.031
5,22.8,0.031
4,22.2,0.031
5,24.2,0.031
5,22.6,0.031
4,21,0.031
6,21.5,0.031
6,21.7,0.031
2,24,0.031
4,23.9,0.031
3,22.8,0.031
3,24.8,0.031
4,23.6,0.031
3,23.3,0.031
2,22.8,0.031
3,20.8,0.031
3,23.1,0.031
3,22.3,0.031
3,21.2,0.031
4,24.2,0.031
6,21.3,0.031
6,21.6,0.031
5,21.8,0.031
5,22.8,0.031
4,22.7,0.031
4,23,0.031
4,20,0.031
6,22.9,0.031
3,21.3,0.031
3,26.3,0.031
3,24.3,0.031
4,22.8,0.031
5,24.5,0.031
3,23.2,0.031
4,21.3,0.031
4,21.1,0.031
4,25.9,0.031
4,22.1,0.032
2,25.2,0.032
4,23.4,0.032
4,23.4,0.032
4,22.9,0.032
5,22.8,0.032
7,21.3,0.032
5,20.5,0.032
3,24.2,0.032
4,25,0.032
3,24.1,0.032
4,25.4,0.032
3,26.2,0.032
3,24,0.032
4,23.8,0.032
2,23.5,0.032
4,24,0.032
7,23.4,0.032
5,22,0.032
4,24.1,0.032
4,21.8,0.032
2,24.3,0.032
6,20.2,0.032
5,20.1,0.032
5,20.7,0.032
6,22.5,0.032
5,21.3,0.032
6,21.8,0.032
4,21.8,0.032
5,22.8,0.032
3,23.2,0.032
4,22.3,0.032
4,23,0.032
5,21,0.032
4,23,0.032
5,23.4,0.032
2,24.6,0.032
6,22.6,0.032
4,24.2,0.032
5,22.8,0.032
7,25.2,0.032
4,23.8,0.032
5,21.7,0.032
5,19.9,0.032
4,20.6,0.032
3,21.5,0.032
3,25.2,0.032
5,22,0.032
5,23.4,0.032
3,24.8,0.032
3,23.8,0.032
4,24.2,0.032
3,25.2,0.032
2,26.2,0.033
5,23.7,0.033
5,22.5,0.033
5,22.5,0.033
5,22.3,0.033
9,21,0.033
3,24.8,0.033
3,25.4,0.033
3,24.4,0.033
4,23.5,0.033
5,24.1,0.033
4,23.2,0.033
6,23.6,0.033
6,22.3,0.033
6,22.4,0.033
2,25.2,0.033
4,25.8,0.033
5,23.8,0.033
3,25,0.033
5,23,0.033
4,22.4,0.033
4,21.3,0.033
3,24.5,0.033
3,20.7,0.033
4,22.2,0.033
3,23.7,0.033
5,22.8,0.033
3,24.2,0.033
6,22.3,0.033
6,21.2,0.033
4,21,0.033
8,22,0.033
4,22.6,0.033
2,26.4,0.033
4,25.2,0.033
2,27.8,0.033
3,26.2,0.033
3,24.4,0.033
5,24,0.033
3,25.2,0.033
4,23.2,0.033
4,22.3,0.033
5,22.8,0.033
6,21,0.033
5,23.2,0.033
6,23.2,0.033
5,25.2,0.033
4,22.1,0.033
4,23.4,0.033
6,22.9,0.033
5,27.8,0.034
9,20,0.034
3,25,0.034
4,24.2,0.034
3,23.5,0.034
3,23.2,0.034
5,24.5,0.034
7,22.5,0.034
4,23.6,0.034
5,23.2,0.034
5,23.5,0.034
6,21.8,0.034
4,23.4,0.034
4,23.2,0.034
6,23.8,0.034
4,23.1,0.034
2,26.2,0.034
5,23.7,0.034
4,23.5,0.034
4,24,0.034
6,21.7,0.034
7,23.2,0.034
7,22.2,0.034
7,21.2,0.034
3,24.2,0.034
7,22.8,0.034
4,23.5,0.034
4,22.7,0.034
6,25.2,0.034
3,25.5,0.035
2,25.4,0.035
6,22.6,0.035
9,21.2,0.035
7,20,0.035
3,25,0.035
7,24,0.035
4,23,0.035
6,22.6,0.035
2,25.5,0.035
6,21.9,0.035
2,27.5,0.035
5,22.5,0.035
2,24.5,0.035
6,22.3,0.035
6,22.3,0.035
5,23.6,0.035
6,22.8,0.035
7,23.6,0.035
8,24,0.035
8,22,0.035
8,22,0.035
8,20,0.035
3,26,0.035
2,25.4,0.035
4,24.3,0.035
4,26.2,0.035
5,22.4,0.035
4,23.4,0.035
5,21.6,0.035
6,23.8,0.035
5,24.8,0.035
5,23.2,0.035
5,25.6,0.035
5,23,0.035
3,27.4,0.035
5,23.8,0.035
4,25,0.035
2,27.2,0.036
4,26.8,0.036
8,21.6,0.036
4,24,0.036
5,25.5,0.036
2,24,0.036
7,22,0.036
7,21,0.036
3,22.4,0.036
4,26.4,0.036
5,26.4,0.036
3,27,0.036
4,23.3,0.036
4,20.9,0.036
4,22.8,0.036
6,24.2,0.036
3,25.2,0.036
4,26.2,0.036
3,26.3,0.036
6,23.3,0.036
5,26.8,0.036
6,21,0.036
5,25.2,0.036
3,25.2,0.036
5,24,0.036
6,23.8,0.036
4,24.5,0.036
4,25.5,0.036
4,24.6,0.036
5,21.8,0.036
9,27.5,0.036
4,24.7,0.036
6,22,0.036
7,24,0.036
6,24.5,0.036
5,23.8,0.036
3,24.7,0.036
8,24.2,0.036
6,24.1,0.036
8,23,0.036
3,25.7,0.036
5,22.8,0.036
4,25.2,0.036
6,22.2,0.036
7,22,0.037
6,22,0.037
6,22.4,0.037
5,24.2,0.037
4,27.7,0.037
3,25.9,0.037
4,26.6,0.037
5,25.7,0.037
8,21.4,0.037
6,22.8,0.037
4,21.5,0.037
5,22.5,0.037
6,24,0.037
6,23.3,0.037
6,23.6,0.037
4,26.6,0.037
5,24.4,0.037
6,23.2,0.037
5,25.4,0.037
8,22,0.037
6,24.8,0.037
5,25.2,0.037
5,26.6,0.037
8,23.6,0.037
4,26.5,0.037
3,25.2,0.037
4,24.1,0.037
3,26.8,0.037
5,23.5,0.037
4,26.8,0.037
6,23.2,0.037
8,23,0.037
4,26,0.037
5,24.2,0.037
6,25.8,0.037
4,26.5,0.037
5,24.5,0.037
6,23.9,0.037
6,22.9,0.037
4,26.8,0.037
5,23.4,0.037
3,25.8,0.038
6,21.2,0.038
8,23.2,0.038
7,23.2,0.038
8,23,0.038
5,24.6,0.038
9,24.2,0.038
5,24.3,0.038
3,26.3,0.038
3,26.4,0.038
6,23.2,0.038
4,25,0.038
3,27,0.038
6,22.5,0.038
6,23.4,0.038
7,22.2,0.038
8,21.3,0.038
5,24.8,0.038
8,22,0.038
8,22,0.038
4,23,0.038
3,25.2,0.038
3,28.5,0.038
8,24.5,0.038
5,22.4,0.038
6,24.2,0.038
4,26.3,0.038
5,22,0.038
3,28.3,0.038
5,24.8,0.038
4,26.2,0.038
3,24,0.038
8,24,0.038
5,22,0.038
4,26,0.038
6,23.2,0.038
5,23.8,0.038
9,22,0.038
5,24.9,0.038
4,25.2,0.038
6,24.3,0.039
8,24.2,0.039
7,23,0.039
9,22,0.039
6,24.8,0.039
3,26.6,0.039
6,23.9,0.039
4,26.9,0.039
5,24.6,0.039
4,25.2,0.039
9,22.3,0.039
6,24.2,0.039
5,25.7,0.039
5,24.2,0.039
7,23.4,0.039
6,24.3,0.039
7,24.2,0.039
6,23.8,0.039
9,24,0.039
7,24,0.039
4,25,0.039
4,26.4,0.039
6,23.1,0.039
5,23.8,0.039
6,24.5,0.039
6,24.5,0.039
7,24.4,0.039
5,23.7,0.039
4,26.7,0.039
6,22,0.039
4,25,0.039
4,26,0.039
3,27.4,0.039
8,23,0.039
5,24.9,0.039
4,21.6,0.04
6,24.1,0.04
6,26.7,0.04
7,23.8,0.04
6,27,0.04
4,26.1,0.04
5,26.8,0.04
4,24,0.04
7,23.2,0.04
5,25.7,0.04
8,26.4,0.04
5,26.2,0.04
7,24,0.04
4,25.5,0.04
4,23.6,0.04
4,24.2,0.04
5,25.8,0.04
6,23.8,0.04
6,25.2,0.04
7,22.2,0.04
8,22.5,0.04
6,24.7,0.04
8,23,0.04
5,24,0.04
9,23,0.04
3,25.8,0.04
5,28.2,0.04
5,24,0.04
6,25,0.04
6,23.4,0.04
8,23.8,0.04
5,26,0.04
4,27.8,0.04
6,24.5,0.04
6,23.4,0.04
3,26.8,0.04
8,23,0.041
4,29.2,0.041
8,25.3,0.041
7,25.2,0.041
4,24.7,0.041
6,22.5,0.041
10,23.2,0.041
8,24.6,0.041
7,22.6,0.041
6,24.3,0.041
6,24.2,0.041
6,25.3,0.041
8,23.2,0.041
6,25.2,0.041
3,27.9,0.041
5,26,0.041
8,25.2,0.041
6,25.8,0.041
6,24.7,0.041
6,25.2,0.041
8,24,0.042
4,27.5,0.042
8,24.2,0.042
7,23.7,0.042
8,23.8,0.042
3,22,0.042
3,28,0.042
7,24,0.042
5,26.8,0.042
7,25,0.042
7,22.3,0.042
6,27.2,0.042
9,23,0.042
9,27,0.042
6,24,0.042
5,26.5,0.042
6,24.5,0.042
7,24,0.042
5,24.5,0.042
7,23.4,0.043
7,23.4,0.043
7,24.2,0.043
7,23.8,0.043
5,27.6,0.043
6,24.3,0.043
6,25.2,0.043
5,24.5,0.043
8,25.4,0.043
8,22.5,0.043
8,23.8,0.043
5,26.2,0.043
2,22.4,0.043
7,24,0.043
7,24,0.043
5,27.8,0.043
6,24.5,0.043
7,24.2,0.043
8,33.4,0.043
10,21.8,0.043
11,23.7,0.043
6,25.3,0.043
3,25.5,0.043
5,26.2,0.043
8,26.1,0.043
9,24.2,0.043
9,21.4,0.043
6,24.7,0.043
6,26.1,0.043
8,20.8,0.043
6,25.8,0.043
5,25.4,0.043
5,25.5,0.044
9,23,0.044
9,24,0.044
6,23.4,0.044
5,25.6,0.044
6,24.5,0.044
6,26.5,0.044
5,26.3,0.044
7,23.8,0.044
7,22.8,0.044
7,21.9,0.044
8,23,0.044
9,26,0.044
5,24,0.044
7,24.6,0.044
6,24.6,0.044
5,26.2,0.044
7,25.7,0.044
7,23.5,0.044
4,22.5,0.044
8,23.2,0.044
10,24.1,0.044
7,23,0.045
9,25,0.045
10,23.7,0.045
6,26.2,0.045
8,23.8,0.045
7,24.4,0.045
7,25.5,0.045
9,22.2,0.045
8,24,0.045
7,24.3,0.045
8,23.6,0.045
9,24,0.045
5,25.5,0.045
3,30.8,0.045
7,24.4,0.045
8,23.2,0.045
6,24.3,0.045
7,25.4,0.046
7,23.5,0.046
7,24.5,0.046
8,25,0.046
5,28,0.046
3,26.4,0.046
7,25.8,0.046
6,25.8,0.046
7,22.6,0.046
10,24,0.046
7,24.2,0.046
5,25.3,0.046
8,23.6,0.046
6,25.2,0.046
7,24.3,0.046
8,24.2,0.046
8,25,0.046
8,24,0.046
8,25.1,0.046
7,23.2,0.046
8,25.3,0.046
7,24.2,0.046
5,27.8,0.046
7,23.8,0.046
6,25.4,0.046
6,27.6,0.046
5,26.3,0.047
7,24.8,0.047
8,23.3,0.047
6,25.8,0.047
11,23.4,0.047
4,27.5,0.047
4,23.2,0.047
9,25,0.047
9,23,0.047
7,23,0.047
11,26,0.047
7,24.8,0.047
6,22.4,0.047
7,26.5,0.047
7,26,0.047
9,24.3,0.047
8,25.5,0.047
9,25,0.047
7,23.8,0.047
8,25.2,0.047
8,24.3,0.047
8,27.8,0.047
5,27.1,0.047
3,29.2,0.048
9,27,0.048
7,26.3,0.048
6,27.8,0.048
7,24.5,0.048
8,26,0.048
8,25.2,0.048
9,24.2,0.048
8,24.8,0.048
9,24.3,0.048
8,25.5,0.048
7,26.3,0.048
8,27.8,0.048
7,25.6,0.048
7,24.5,0.048
8,25.2,0.048
6,23.4,0.049
3,23.8,0.049
7,28.2,0.049
10,24.5,0.049
9,24.3,0.049
8,25.3,0.049
4,26.3,0.049
12,24.2,0.049
9,23,0.049
9,27,0.049
8,26.7,0.049
8,26.6,0.049
9,22.7,0.049
2,27.2,0.049
9,22.4,0.049
4,25,0.049
6,25.2,0.049
5,28.1,0.049
4,24.9,0.049
5,28.3,0.049
6,25.2,0.049
9,25.2,0.05
8,23.8,0.05
9,27.1,0.05
8,25,0.05
6,26.4,0.05
7,26.2,0.05
10,25.2,0.05
9,26,0.05
8,25.2,0.05
8,26,0.05
8,25,0.05
9,25,0.051
9,25.3,0.051
12,23.2,0.051
7,27.8,0.051
10,26.9,0.051
7,25.3,0.051
7,25.4,0.051
9,25.3,0.051
8,25.5,0.051
6,26.3,0.051
5,25.8,0.051
10,24.5,0.051
9,23.5,0.051
8,25.2,0.051
9,26.8,0.051
9,26,0.051
11,24.2,0.051
9,25.1,0.051
3,27.2,0.052
6,28.8,0.052
9,25.3,0.052
8,23.8,0.052
12,23,0.052
5,29.4,0.052
9,26.8,0.053
8,26.4,0.053
10,24.2,0.053
12,24.5,0.053
8,28.5,0.053
5,26.9,0.053
8,26.6,0.053
9,24.8,0.053
10,24.2,0.053
6,26.3,0.053
8,25.3,0.053
10,24.9,0.053
9,24.9,0.053
8,25.6,0.053
7,27.2,0.053
9,26.4,0.053
8,28.5,0.054
5,28.4,0.054
9,25.2,0.054
12,25.4,0.054
6,26.5,0.054
9,25.8,0.054
10,24.9,0.054
11,24.5,0.054
8,25.2,0.054
10,25.6,0.054
9,25,0.054
7,30.4,0.055
8,28.4,0.055
6,27.7,0.055
7,25.6,0.055
8,27.5,0.055
11,24.4,0.055
5,27,0.055
3,28.4,0.055
7,27.3,0.055
7,24.8,0.055
9,25.8,0.055
8,28.3,0.055
9,25.2,0.055
9,27.5,0.056
10,25.4,0.056
8,27.4,0.056
8,28.2,0.056
3,25.6,0.056
8,23.5,0.056
10,26.5,0.056
10,23.7,0.056
10,26.5,0.056
9,26.3,0.057
11,26.1,0.057
11,24.1,0.057
7,27.6,0.057
9,26.3,0.057
8,27.9,0.057
7,26.7,0.058
11,27.4,0.058
9,25.2,0.058
10,25.5,0.058
9,29,0.058
8,26.7,0.058
9,26,0.058
8,25.7,0.058
10,27,0.058
6,28.7,0.058
13,22.7,0.058
10,27.2,0.058
11,24,0.058
10,23.4,0.058
11,27.8,0.058
8,25.4,0.058
13,25.4,0.059
8,29.2,0.059
12,23.9,0.059
8,28.6,0.059
10,26.8,0.059
10,25.2,0.059
10,26.4,0.059
9,25.2,0.059
8,25.8,0.06
10,27.4,0.06
10,26.2,0.06
8,26.8,0.06
14,23.2,0.06
8,27.3,0.06
10,25.2,0.06
10,25.5,0.06
10,25.2,0.061
8,29.3,0.061
7,26.2,0.061
8,29.4,0.061
11,27.7,0.061
12,25.2,0.061
10,25.2,0.061
8,27,0.062
9,30.8,0.062
12,24.8,0.062
11,23.4,0.062
9,25.8,0.062
11,24.7,0.062
10,28.5,0.062
10,25.2,0.062
10,26.2,0.063
12,25.3,0.063
12,28.4,0.063
14,26.5,0.063
9,25.8,0.063
8,29.8,0.064
9,27.4,0.064
11,24.9,0.064
14,23.4,0.064
12,27.5,0.064
9,25.2,0.065
11,28.2,0.065
11,25.5,0.065
13,26,0.065
13,25.7,0.065
9,28.4,0.065
9,28,0.065
13,24.3,0.065
12,25.3,0.065
12,24.3,0.065
9,29,0.066
12,24.6,0.066
10,26.4,0.066
13,26.4,0.067
11,23.7,0.067
12,25.8,0.067
10,26,0.067
11,24.5,0.067
9,25.5,0.067
16,25.2,0.067
11,24.5,0.067
11,25.6,0.068
12,26.5,0.068
13,23.8,0.068
8,28.4,0.068
13,26.4,0.068
14,24.7,0.068
13,23.4,0.069
12,23,0.07
12,26.1,0.07
15,24.8,0.07
12,25.8,0.07
4,26,0.071
13,28.5,0.071
14,26.5,0.071
13,26.7,0.072
13,25.5,0.072
16,25.3,0.072
14,26.3,0.072
13,24.2,0.072
14,25.3,0.073
10,31.6,0.073
11,28.7,0.073
13,25.3,0.074
12,28.2,0.074
10,26.4,0.074
13,25.5,0.075
15,24.9,0.075
14,27.8,0.075
14,25.4,0.075
10,25.2,0.076
13,28.2,0.076
10,27,0.076
14,27.2,0.076
13,26.5,0.076
15,24.3,0.077
12,25.7,0.077
10,28.5,0.078
9,28.7,0.078
12,27.5,0.078
13,27.2,0.078
12,26.8,0.078
16,26,0.078
13,27.4,0.078
11,26.4,0.078
14,26.8,0.079
19,26,0.079
13,26.2,0.079
17,27,0.079
10,26.6,0.079
15,24.6,0.08
13,27.8,0.08
14,26.4,0.08
14,24.7,0.081
14,26.8,0.081
17,27,0.081
11,29.2,0.081
13,26,0.083
14,28,0.083
6,31.8,0.084
13,28.2,0.084
14,26.2,0.084
15,27.5,0.084
11,26.8,0.085
18,25,0.085
12,27.2,0.086
12,28.2,0.086
15,27.2,0.086
21,26.4,0.086
16,26.3,0.087
18,27.2,0.087
11,27.4,0.088
14,27.2,0.089
13,25.4,0.089
20,26.2,0.09
20,26.4,0.09
16,28,0.092
19,27.2,0.093
11,29.2,0.094
11,33.2,0.096
15,28.8,0.097
19,28.7,0.098
16,26.9,0.099
20,25.9,0.099
